,agecell,all,internal,external,alcohol,homicide,suicide,mva,drugs,externalother
35,21.69862938,97.25824738,21.26787186,75.99037933,1.611797929,18.04427528,13.32681751,30.3882885,4.4029603,8.963169098
36,21.78082275,98.9287262,19.45493126,79.47379303,1.732827902,17.17074966,14.76842022,31.74225807,5.080336571,9.806230545
37,21.86301422,102.262207,20.51556587,81.74664307,1.301949382,17.16205978,13.92691326,34.48193359,4.813267708,10.57340717
38,21.94520569,96.83337402,22.09381866,74.73955536,1.146190882,16.71857834,12.37095737,31.54001236,4.268573284,9.446194649
39,22.02739716,99.50196838,21.02488708,78.47707367,1.346226335,17.22377777,12.27441692,31.83429337,4.909766674,11.48251915
40,22.10958862,96.07228851,23.4032402,72.66904449,1.626326919,17.01693344,11.62228775,29.55154991,4.402982712,9.440629005
41,22.19178009,95.96820831,20.62422371,75.34397888,1.827965856,16.57090759,12.59706879,30.83698845,4.609652996,9.49747467
42,22.27397346,98.610672,23.12991524,75.48075867,1.632231593,17.19814682,12.42088413,29.8578949,4.936505318,10.07206249
43,22.35616493,97.95246887,23.09221458,74.86025238,1.555434108,17.10977554,13.87925816,28.75559044,5.105014324,9.372488022
44,22.4383564,97.41172791,24.37290955,73.03881836,1.638179183,16.701437,13.86458969,27.6492691,4.435070515,9.469474792
45,22.52054787,97.50947571,23.49674034,74.01273346,1.561112285,17.53249168,12.80912685,28.26013565,4.523222923,9.887044907
46,22.60273933,95.56239319,22.81787682,72.74451447,1.243153214,16.04068565,12.15081978,29.23415184,5.012714386,10.02542877
47,22.6849308,97.02306366,21.8151226,75.20793915,0.883853972,16.79322624,12.85605812,29.5287571,5.423649311,10.20449638
48,22.76712418,99.37457275,24.35059357,75.02397919,1.207467437,17.2265358,14.61035633,27.44976044,4.789620876,10.50496674
49,22.84931564,94.31530762,22.94374084,71.37156677,1.370979309,16.69368935,12.33881378,26.85506439,5.564562798,9.435563087
50,22.93150711,97.39764404,24.2383194,73.15932465,1.777476788,17.77476692,11.91717339,27.3893013,4.968855381,10.09929943
51,23.28373411,98.48917129,24.92837187,74.15932465,1.827818757,18.19839352,12.52137339,27.83120005,5.468832424,11.92994308
52,23.28373411,98.48917129,24.92837187,74.15932465,1.827818757,18.19839352,12.52137339,27.83120005,5.468832424,11.92994308
